,coh,di,dotmode,dur,ntrials,pc,se,subj
0,0.25,0,3d,0.03333333333333333,1070,0.5112345794392523,0.015031374305218155,ALL
1,0.25,1,3d,0.05,1107,0.4783107497741644,0.01499072870296053,ALL
2,0.25,2,3d,0.06666666666666667,1083,0.5667820867959372,0.015675248699454813,ALL
3,0.25,3,3d,0.08333333333333333,1034,0.62739748549323,0.014837397092098484,ALL
4,0.25,4,3d,0.1,677,0.6528168389955686,0.01756367372809035,ALL
5,0.25,5,3d,0.11666666666666667,1451,0.6928352860096486,0.01203724512250809,ALL
6,0.25,6,3d,0.15,912,0.7502850877192981,0.014026606283011918,ALL
7,0.25,7,3d,0.18333333333333332,1017,0.7751563421828909,0.012608405135904723,ALL
8,0.25,8,3d,0.21666666666666667,961,0.7645026014568158,0.014146179315048288,ALL
9,0.25,9,3d,0.26666666666666666,1158,0.8287858376511226,0.010821047229902498,ALL
10,0.25,10,3d,0.3333333333333333,1187,0.8866116259477674,0.009398394990600271,ALL
11,0.25,11,3d,0.4166666666666667,984,0.8526951219512195,0.01144374366794372,ALL
12,0.25,12,3d,0.5,1059,0.8509839471199244,0.01089087482697042,ALL
13,0.25,13,3d,0.6166666666666667,1241,0.81693875906527,0.010816583866366523,ALL
14,0.25,14,3d,0.7666666666666667,1049,0.8893918017159199,0.009415616649635219,ALL
15,0.25,15,3d,0.9333333333333333,951,0.883596214511041,0.010110860192775996,ALL
16,0.25,16,3d,1.15,628,0.8694251592356689,0.013955424079140962,ALL
17,0.25,17,3d,1.4,157,0.9116878980891719,0.02299160568108691,ALL
18,0.25,18,3d,1.75,56,0.8570714285714286,0.04509188592347097,ALL
19,0.25,19,3d,2.1333333333333333,164,0.8902439024390244,0.02424945326463759,ALL
20,0.25,20,3d,2.6333333333333333,152,0.9402697368421052,0.01895497387113756,ALL
21,0.25,21,3d,3.2333333333333334,224,0.8702544642857143,0.02294897170821504,ALL
22,0.25,22,3d,3.966666666666667,238,0.8835714285714289,0.022099228127429753,ALL
23,0.25,23,3d,4.866666666666666,275,0.8541818181818183,0.02011622513677511,ALL
24,0.5,0,3d,0.03333333333333333,814,0.5271191646191646,0.018019249453673367,ALL
25,0.5,1,3d,0.05,1292,0.6105,0.013553024136685838,ALL
26,0.5,2,3d,0.06666666666666667,878,0.6285261958997722,0.016206403030159165,ALL
27,0.5,3,3d,0.08333333333333333,1231,0.733055239642567,0.01253614002998849,ALL
28,0.5,4,3d,0.1,578,0.8342006920415226,0.015208887154541684,ALL
29,0.5,5,3d,0.11666666666666667,1280,0.8253968749999999,0.010464532480420891,ALL
30,0.5,6,3d,0.15,1176,0.8233061224489795,0.010939824974533241,ALL
31,0.5,7,3d,0.18333333333333332,963,0.9105794392523363,0.009282778631471145,ALL
32,0.5,8,3d,0.21666666666666667,842,0.8806021377672208,0.010897223095833691,ALL
33,0.5,9,3d,0.26666666666666666,1224,0.9135735294117648,0.008056294687013818,ALL
