,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.03,0.5162187210379982,1079.0
1,ALL,2d,1,0.03333333333333333,0.06,0.47527472527472525,1092.0
2,ALL,2d,1,0.03333333333333333,0.12,0.5058087578194816,1119.0
3,ALL,2d,1,0.03333333333333333,0.25,0.526615969581749,1052.0
4,ALL,2d,1,0.03333333333333333,0.5,0.6020025031289111,799.0
5,ALL,2d,2,0.05,0.03,0.5,1336.0
6,ALL,2d,2,0.05,0.06,0.487673343605547,1298.0
7,ALL,2d,2,0.05,0.12,0.54,1200.0
8,ALL,2d,2,0.05,0.25,0.6201214223764093,1153.0
9,ALL,2d,2,0.05,0.5,0.7086142322097378,1335.0
10,ALL,2d,3,0.06666666666666667,0.03,0.4858585858585859,990.0
11,ALL,2d,3,0.06666666666666667,0.06,0.5814393939393939,1056.0
12,ALL,2d,3,0.06666666666666667,0.12,0.6476014760147601,1084.0
13,ALL,2d,3,0.06666666666666667,0.25,0.7451923076923077,1040.0
14,ALL,2d,3,0.06666666666666667,0.5,0.8962566844919786,935.0
15,ALL,2d,4,0.08333333333333333,0.03,0.5480043149946062,927.0
16,ALL,2d,4,0.08333333333333333,0.06,0.5507584597432905,857.0
17,ALL,2d,4,0.08333333333333333,0.12,0.7007211538461539,832.0
18,ALL,2d,4,0.08333333333333333,0.25,0.8177339901477833,812.0
19,ALL,2d,4,0.08333333333333333,0.5,0.9277899343544858,914.0
20,ALL,2d,5,0.1,0.03,0.5379746835443038,1422.0
21,ALL,2d,5,0.1,0.06,0.6305108467459762,1429.0
22,ALL,2d,5,0.1,0.12,0.7050659264399722,1441.0
23,ALL,2d,5,0.1,0.25,0.8392469225199131,1381.0
24,ALL,2d,5,0.1,0.5,0.9733542319749217,1276.0
25,ALL,2d,6,0.13333333333333333,0.03,0.5749027237354085,1028.0
26,ALL,2d,6,0.13333333333333333,0.06,0.6510238907849829,1172.0
27,ALL,2d,6,0.13333333333333333,0.12,0.7418817651956703,1201.0
28,ALL,2d,6,0.13333333333333333,0.25,0.8675429726996967,989.0
29,ALL,2d,6,0.13333333333333333,0.5,0.9748083242059146,913.0
30,ALL,2d,7,0.16666666666666666,0.03,0.597457627118644,1180.0
31,ALL,2d,7,0.16666666666666666,0.06,0.7067264573991031,1115.0
32,ALL,2d,7,0.16666666666666666,0.12,0.8055555555555556,1224.0
33,ALL,2d,7,0.16666666666666666,0.25,0.9512378094523631,1333.0
34,ALL,2d,7,0.16666666666666666,0.5,0.9811584089323099,1433.0
35,ALL,2d,8,0.21666666666666667,0.03,0.6112132352941176,1088.0
36,ALL,2d,8,0.21666666666666667,0.06,0.6746242263483643,1131.0
37,ALL,2d,8,0.21666666666666667,0.12,0.8495762711864406,944.0
38,ALL,2d,8,0.21666666666666667,0.25,0.9776536312849162,895.0
39,ALL,2d,8,0.21666666666666667,0.5,0.9849435382685069,797.0
40,ALL,2d,9,0.26666666666666666,0.03,0.6309611151870873,1363.0
41,ALL,2d,9,0.26666666666666666,0.06,0.7133706965572458,1249.0
42,ALL,2d,9,0.26666666666666666,0.12,0.8305555555555556,1440.0
43,ALL,2d,9,0.26666666666666666,0.25,0.9545454545454546,1364.0
44,ALL,2d,9,0.26666666666666666,0.5,0.9938884644766998,1309.0
45,ALL,2d,10,0.35,0.03,0.6391035548686245,1294.0
46,ALL,2d,10,0.35,0.06,0.7344110854503464,1299.0
47,ALL,2d,10,0.35,0.12,0.8204697986577181,1192.0
48,ALL,2d,10,0.35,0.25,0.9691252144082333,1166.0
49,ALL,2d,10,0.35,0.5,0.9975470155355682,1223.0
50,ALL,2d,11,0.45,0.03,0.6486042692939245,1218.0
