,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.03,0.5281954887218046,1064.0
1,ALL,2d,1,0.03333333333333333,0.06,0.4822565969062784,1099.0
2,ALL,2d,1,0.03333333333333333,0.12,0.4923766816143498,1115.0
3,ALL,2d,1,0.03333333333333333,0.25,0.5448275862068965,1015.0
4,ALL,2d,1,0.03333333333333333,0.5,0.5662368112543963,853.0
5,ALL,2d,2,0.05,0.03,0.5273818454613654,1333.0
6,ALL,2d,2,0.05,0.06,0.5034965034965035,1287.0
7,ALL,2d,2,0.05,0.12,0.5104408352668214,1293.0
8,ALL,2d,2,0.05,0.25,0.6417910447761194,1139.0
9,ALL,2d,2,0.05,0.5,0.7254740313272877,1213.0
10,ALL,2d,3,0.06666666666666667,0.03,0.45717131474103584,1004.0
11,ALL,2d,3,0.06666666666666667,0.06,0.5689981096408318,1058.0
12,ALL,2d,3,0.06666666666666667,0.12,0.6835443037974683,1106.0
13,ALL,2d,3,0.06666666666666667,0.25,0.7652091254752852,1052.0
14,ALL,2d,3,0.06666666666666667,0.5,0.8888888888888888,963.0
15,ALL,2d,4,0.08333333333333333,0.03,0.5717439293598234,906.0
16,ALL,2d,4,0.08333333333333333,0.06,0.5464982778415615,871.0
17,ALL,2d,4,0.08333333333333333,0.12,0.6878824969400245,817.0
18,ALL,2d,4,0.08333333333333333,0.25,0.807825086306099,869.0
19,ALL,2d,4,0.08333333333333333,0.5,0.9139559286463799,953.0
20,ALL,2d,5,0.1,0.03,0.5753823743627094,1373.0
21,ALL,2d,5,0.1,0.06,0.6497829232995659,1382.0
22,ALL,2d,5,0.1,0.12,0.7049626104690686,1471.0
23,ALL,2d,5,0.1,0.25,0.8571428571428571,1386.0
24,ALL,2d,5,0.1,0.5,0.9690553745928339,1228.0
25,ALL,2d,6,0.13333333333333333,0.03,0.6009302325581395,1075.0
26,ALL,2d,6,0.13333333333333333,0.06,0.6547725245316681,1121.0
27,ALL,2d,6,0.13333333333333333,0.12,0.7421543681085666,1179.0
28,ALL,2d,6,0.13333333333333333,0.25,0.8867376573088093,1033.0
29,ALL,2d,6,0.13333333333333333,0.5,0.9715585893060296,879.0
30,ALL,2d,7,0.16666666666666666,0.03,0.6052188552188552,1188.0
31,ALL,2d,7,0.16666666666666666,0.06,0.6809605488850772,1166.0
32,ALL,2d,7,0.16666666666666666,0.12,0.8099742046431643,1163.0
33,ALL,2d,7,0.16666666666666666,0.25,0.9438700147710487,1354.0
34,ALL,2d,7,0.16666666666666666,0.5,0.9855548260013132,1523.0
35,ALL,2d,8,0.21666666666666667,0.03,0.6197552447552448,1144.0
36,ALL,2d,8,0.21666666666666667,0.06,0.6892605633802817,1136.0
37,ALL,2d,8,0.21666666666666667,0.12,0.8658536585365854,984.0
38,ALL,2d,8,0.21666666666666667,0.25,0.9741657696447793,929.0
39,ALL,2d,8,0.21666666666666667,0.5,0.9878640776699029,824.0
40,ALL,2d,9,0.26666666666666666,0.03,0.5965463108320251,1274.0
41,ALL,2d,9,0.26666666666666666,0.06,0.6976556184316896,1237.0
42,ALL,2d,9,0.26666666666666666,0.12,0.8241279069767442,1376.0
43,ALL,2d,9,0.26666666666666666,0.25,0.9595290654893304,1359.0
44,ALL,2d,9,0.26666666666666666,0.5,0.9944,1250.0
45,ALL,2d,10,0.35,0.03,0.6211278792692613,1259.0
46,ALL,2d,10,0.35,0.06,0.7412116679132386,1337.0
47,ALL,2d,10,0.35,0.12,0.8071065989847716,1182.0
48,ALL,2d,10,0.35,0.25,0.9754237288135593,1180.0
49,ALL,2d,10,0.35,0.5,0.994281045751634,1224.0
50,ALL,2d,11,0.45,0.03,0.6342082980524979,1181.0
51,ALL,2d,11,0.45,0.06,0.7540016849199663,1187.0
52,ALL,2d,11,0.45,0.12,0.8884785819793205,1354.0
53,ALL,2d,11,0.45,0.25,0.960967993754879,1281.0
54,ALL,2d,11,0.45,0.5,0.9983883964544722,1241.0
55,ALL,2d,12,0.5833333333333334,0.03,0.6288659793814433,1358.0
56,ALL,2d,12,0.5833333333333334,0.06,0.7869090909090909,1375.0
57,ALL,2d,12,0.5833333333333334,0.12,0.8851674641148325,1463.0
58,ALL,2d,12,0.5833333333333334,0.25,0.9808646350106307,1411.0
59,ALL,2d,12,0.5833333333333334,0.5,0.9935897435897436,1248.0
60,ALL,2d,13,0.7666666666666667,0.03,0.657973174366617,1342.0
61,ALL,2d,13,0.7666666666666667,0.06,0.7996702390766695,1213.0
62,ALL,2d,13,0.7666666666666667,0.12,0.9110535405872193,1158.0
63,ALL,2d,13,0.7666666666666667,0.25,0.9727659574468085,1175.0
64,ALL,2d,13,0.7666666666666667,0.5,0.9953198127925117,1282.0
65,ALL,2d,14,0.9833333333333333,0.03,0.6964028776978417,695.0
66,ALL,2d,14,0.9833333333333333,0.06,0.845222072678331,743.0
67,ALL,2d,14,0.9833333333333333,0.12,0.9373493975903614,830.0
68,ALL,2d,14,0.9833333333333333,0.25,0.9809296781883194,839.0
69,ALL,2d,14,0.9833333333333333,0.5,0.9957983193277311,952.0
70,ALL,2d,15,1.2666666666666666,0.03,0.7586206896551724,203.0
71,ALL,2d,15,1.2666666666666666,0.06,0.7188940092165899,217.0
72,ALL,2d,15,1.2666666666666666,0.12,0.9717314487632509,283.0
73,ALL,2d,15,1.2666666666666666,0.25,0.9335664335664335,286.0
74,ALL,2d,15,1.2666666666666666,0.5,0.9911504424778761,226.0
75,ALL,2d,16,1.65,0.03,0.6928104575163399,153.0
76,ALL,2d,16,1.65,0.06,0.8620689655172413,116.0
77,ALL,2d,16,1.65,0.12,0.9906542056074766,107.0
78,ALL,2d,16,1.65,0.25,1.0,86.0
79,ALL,2d,16,1.65,0.5,1.0,150.0
80,ALL,2d,17,2.1333333333333333,0.03,0.6277372262773723,137.0
81,ALL,2d,17,2.1333333333333333,0.06,0.8280254777070064,157.0
82,ALL,2d,17,2.1333333333333333,0.12,0.9213483146067416,178.0
83,ALL,2d,17,2.1333333333333333,0.25,1.0,161.0
84,ALL,2d,17,2.1333333333333333,0.5,1.0,169.0
85,ALL,2d,18,2.75,0.03,0.6009852216748769,203.0
86,ALL,2d,18,2.75,0.06,0.7521367521367521,234.0
87,ALL,2d,18,2.75,0.12,0.9417989417989417,189.0
88,ALL,2d,18,2.75,0.25,1.0,211.0
89,ALL,2d,18,2.75,0.5,0.9960474308300395,253.0
90,ALL,2d,19,3.566666666666667,0.03,0.6912442396313364,217.0
91,ALL,2d,19,3.566666666666667,0.06,0.9385964912280702,228.0
92,ALL,2d,19,3.566666666666667,0.12,0.9748427672955975,318.0
93,ALL,2d,19,3.566666666666667,0.25,1.0,327.0
94,ALL,2d,19,3.566666666666667,0.5,1.0,371.0
95,ALL,2d,20,4.616666666666666,0.03,0.6194968553459119,318.0
96,ALL,2d,20,4.616666666666666,0.06,0.8325242718446602,412.0
97,ALL,2d,20,4.616666666666666,0.12,0.9411764705882353,425.0
98,ALL,2d,20,4.616666666666666,0.25,1.0,427.0
99,ALL,2d,20,4.616666666666666,0.5,1.0,411.0
100,ALL,3d,1,0.03333333333333333,0.03,0.539647577092511,908.0
101,ALL,3d,1,0.03333333333333333,0.06,0.4682713347921225,914.0
102,ALL,3d,1,0.03333333333333333,0.12,0.4397849462365591,930.0
103,ALL,3d,1,0.03333333333333333,0.25,0.5010752688172043,930.0
104,ALL,3d,1,0.03333333333333333,0.5,0.5227272727272727,748.0
105,ALL,3d,2,0.05,0.03,0.4972375690607735,1086.0
106,ALL,3d,2,0.05,0.06,0.5367383512544803,1116.0
107,ALL,3d,2,0.05,0.12,0.5664794007490637,1068.0
108,ALL,3d,2,0.05,0.25,0.47848898216159497,953.0
109,ALL,3d,2,0.05,0.5,0.6100746268656716,1072.0
110,ALL,3d,3,0.06666666666666667,0.03,0.49599198396793587,998.0
111,ALL,3d,3,0.06666666666666667,0.06,0.5066941297631308,971.0
112,ALL,3d,3,0.06666666666666667,0.12,0.5260960334029228,958.0
113,ALL,3d,3,0.06666666666666667,0.25,0.5545073375262054,954.0
114,ALL,3d,3,0.06666666666666667,0.5,0.6313725490196078,765.0
115,ALL,3d,4,0.08333333333333333,0.03,0.52875,800.0
116,ALL,3d,4,0.08333333333333333,0.06,0.49195710455764075,746.0
117,ALL,3d,4,0.08333333333333333,0.12,0.5253807106598984,788.0
118,ALL,3d,4,0.08333333333333333,0.25,0.6959247648902821,957.0
119,ALL,3d,4,0.08333333333333333,0.5,0.7427230046948357,1065.0
120,ALL,3d,5,0.1,0.03,0.5148378191856453,1449.0
121,ALL,3d,5,0.1,0.06,0.5084033613445378,1428.0
122,ALL,3d,5,0.1,0.12,0.5846621108580107,1317.0
123,ALL,3d,5,0.1,0.25,0.6490974729241877,1385.0
124,ALL,3d,5,0.1,0.5,0.7792,1250.0
125,ALL,3d,6,0.13333333333333333,0.03,0.5523012552301255,956.0
126,ALL,3d,6,0.13333333333333333,0.06,0.6375727348295926,1203.0
127,ALL,3d,6,0.13333333333333333,0.12,0.5936902485659655,1046.0
128,ALL,3d,6,0.13333333333333333,0.25,0.7437619961612284,1042.0
129,ALL,3d,6,0.13333333333333333,0.5,0.8424068767908309,1047.0
130,ALL,3d,7,0.16666666666666666,0.03,0.5446049277824979,1177.0
131,ALL,3d,7,0.16666666666666666,0.06,0.6102003642987249,1098.0
132,ALL,3d,7,0.16666666666666666,0.12,0.6142384105960265,1208.0
133,ALL,3d,7,0.16666666666666666,0.25,0.7620874904067536,1303.0
134,ALL,3d,7,0.16666666666666666,0.5,0.8605935127674258,1449.0
135,ALL,3d,8,0.21666666666666667,0.03,0.5,1136.0
136,ALL,3d,8,0.21666666666666667,0.06,0.6095406360424028,1132.0
137,ALL,3d,8,0.21666666666666667,0.12,0.6822244289970208,1007.0
138,ALL,3d,8,0.21666666666666667,0.25,0.7956867196367764,881.0
139,ALL,3d,8,0.21666666666666667,0.5,0.8717632552404438,811.0
140,ALL,3d,9,0.26666666666666666,0.03,0.5709803921568627,1275.0
141,ALL,3d,9,0.26666666666666666,0.06,0.6652506372132541,1177.0
142,ALL,3d,9,0.26666666666666666,0.12,0.6885838150289018,1384.0
143,ALL,3d,9,0.26666666666666666,0.25,0.829518547750592,1267.0
144,ALL,3d,9,0.26666666666666666,0.5,0.9189591078066914,1345.0
145,ALL,3d,10,0.35,0.03,0.5151045701006971,1291.0
146,ALL,3d,10,0.35,0.06,0.588495575221239,1356.0
147,ALL,3d,10,0.35,0.12,0.6678260869565218,1150.0
148,ALL,3d,10,0.35,0.25,0.842820730671198,1177.0
149,ALL,3d,10,0.35,0.5,0.9290780141843972,1128.0
150,ALL,3d,11,0.45,0.03,0.5298634812286689,1172.0
151,ALL,3d,11,0.45,0.06,0.627104377104377,1188.0
152,ALL,3d,11,0.45,0.12,0.6851595006934813,1442.0
153,ALL,3d,11,0.45,0.25,0.8256172839506173,1296.0
154,ALL,3d,11,0.45,0.5,0.9303691275167785,1192.0
155,ALL,3d,12,0.5833333333333334,0.03,0.5555555555555556,1233.0
156,ALL,3d,12,0.5833333333333334,0.06,0.6682134570765661,1293.0
157,ALL,3d,12,0.5833333333333334,0.12,0.6979085979860573,1291.0
158,ALL,3d,12,0.5833333333333334,0.25,0.8253182461103253,1414.0
159,ALL,3d,12,0.5833333333333334,0.5,0.9565836298932384,1405.0
160,ALL,3d,13,0.7666666666666667,0.03,0.5909763313609467,1352.0
161,ALL,3d,13,0.7666666666666667,0.06,0.6184538653366584,1203.0
162,ALL,3d,13,0.7666666666666667,0.12,0.6784037558685446,1278.0
163,ALL,3d,13,0.7666666666666667,0.25,0.8798122065727699,1065.0
164,ALL,3d,13,0.7666666666666667,0.5,0.9507667473769169,1239.0
165,ALL,3d,14,0.9833333333333333,0.03,0.5551876379690949,906.0
166,ALL,3d,14,0.9833333333333333,0.06,0.5767716535433071,1016.0
167,ALL,3d,14,0.9833333333333333,0.12,0.7492795389048992,1041.0
168,ALL,3d,14,0.9833333333333333,0.25,0.8661275831087152,1113.0
169,ALL,3d,14,0.9833333333333333,0.5,0.9365461847389558,1245.0
170,ALL,3d,15,1.2666666666666666,0.03,0.6360294117647058,272.0
171,ALL,3d,15,1.2666666666666666,0.06,0.6679389312977099,262.0
172,ALL,3d,15,1.2666666666666666,0.12,0.7485207100591716,338.0
173,ALL,3d,15,1.2666666666666666,0.25,0.8567567567567568,370.0
174,ALL,3d,15,1.2666666666666666,0.5,0.9493243243243243,296.0
175,ALL,3d,16,1.65,0.03,0.3877551020408163,98.0
176,ALL,3d,16,1.65,0.06,0.7096774193548387,124.0
177,ALL,3d,16,1.65,0.12,0.7066666666666667,75.0
178,ALL,3d,16,1.65,0.25,0.9154929577464789,71.0
179,ALL,3d,16,1.65,0.5,0.979381443298969,97.0
180,ALL,3d,17,2.1333333333333333,0.03,0.5675675675675675,111.0
181,ALL,3d,17,2.1333333333333333,0.06,0.6782608695652174,115.0
182,ALL,3d,17,2.1333333333333333,0.12,0.8041958041958042,143.0
183,ALL,3d,17,2.1333333333333333,0.25,0.9259259259259259,135.0
184,ALL,3d,17,2.1333333333333333,0.5,0.9666666666666667,120.0
185,ALL,3d,18,2.75,0.03,0.5737704918032787,183.0
186,ALL,3d,18,2.75,0.06,0.591715976331361,169.0
187,ALL,3d,18,2.75,0.12,0.6709677419354839,155.0
188,ALL,3d,18,2.75,0.25,0.9459459459459459,148.0
189,ALL,3d,18,2.75,0.5,0.9653179190751445,173.0
190,ALL,3d,19,3.566666666666667,0.03,0.6009615384615384,208.0
191,ALL,3d,19,3.566666666666667,0.06,0.5902439024390244,205.0
192,ALL,3d,19,3.566666666666667,0.12,0.78,200.0
193,ALL,3d,19,3.566666666666667,0.25,0.8493723849372385,239.0
194,ALL,3d,19,3.566666666666667,0.5,0.9783549783549783,231.0
195,ALL,3d,20,4.616666666666666,0.03,0.5112781954887218,266.0
196,ALL,3d,20,4.616666666666666,0.06,0.6274509803921569,306.0
197,ALL,3d,20,4.616666666666666,0.12,0.8284789644012945,309.0
198,ALL,3d,20,4.616666666666666,0.25,0.8956228956228957,297.0
199,ALL,3d,20,4.616666666666666,0.5,0.9630872483221476,298.0
