,A,B,T,bi,dotmode,coh,subj
0,0.8479043136563428,0.5,278.1975041386482,0,2d,0.06,ALL
1,0.8577790670004963,0.5,284.0313736655513,1,2d,0.06,ALL
2,0.8505219170031117,0.5,260.44436730429123,2,2d,0.06,ALL
3,0.8491401604762129,0.5,292.1803998566307,3,2d,0.06,ALL
4,0.8471519288940513,0.5,270.1784336285068,4,2d,0.06,ALL
5,0.8467057419850407,0.5,261.3610591986514,5,2d,0.06,ALL
6,0.8527148842266136,0.5,284.11093588299417,6,2d,0.06,ALL
7,0.8346220465135417,0.5,243.00144242980195,7,2d,0.06,ALL
8,0.8403263916780103,0.5,237.4226269437485,8,2d,0.06,ALL
9,0.8563497067976642,0.5,312.1104899295969,9,2d,0.06,ALL
10,0.8483446097485245,0.5,257.7007370170359,10,2d,0.06,ALL
11,0.8462435095938792,0.5,264.08588680506455,11,2d,0.06,ALL
12,0.8419027526766406,0.5,263.27270279999493,12,2d,0.06,ALL
13,0.8493033593649261,0.5,284.59545519129625,13,2d,0.06,ALL
14,0.8423397529044139,0.5,241.00704563672844,14,2d,0.06,ALL
15,0.8394315069763105,0.5,244.0317680347354,15,2d,0.06,ALL
16,0.8494090368170051,0.5,257.60846154594776,16,2d,0.06,ALL
17,0.839522269810831,0.5,258.37262037896653,17,2d,0.06,ALL
18,0.8497968508139694,0.5,290.9035342359782,18,2d,0.06,ALL
19,0.8528528590477695,0.5,265.1472877371739,19,2d,0.06,ALL
20,0.8574835508399867,0.5,278.22814959231994,20,2d,0.06,ALL
21,0.8369845745838107,0.5,225.78207689146586,21,2d,0.06,ALL
22,0.8570883455029098,0.5,271.5632336353894,22,2d,0.06,ALL
23,0.8444328413981118,0.5,254.0356201670466,23,2d,0.06,ALL
24,0.83791816132285,0.5,264.8639533009495,24,2d,0.06,ALL
25,0.8492198860730467,0.5,271.3541602141039,25,2d,0.06,ALL
26,0.8674835367612836,0.5,312.97520217523265,26,2d,0.06,ALL
27,0.8529911264240249,0.5,293.57814781625126,27,2d,0.06,ALL
28,0.829782310667507,0.5,259.1776091517282,28,2d,0.06,ALL
29,0.8344029196900474,0.5,236.73931673169298,29,2d,0.06,ALL
30,0.8408601834197225,0.5,245.63410148019025,30,2d,0.06,ALL
31,0.8552062397969804,0.5,284.4927461310976,31,2d,0.06,ALL
32,0.8453788590871557,0.5,256.77937148610823,32,2d,0.06,ALL
33,0.8361349693861084,0.5,222.70246716514654,33,2d,0.06,ALL
34,0.8444180460352148,0.5,278.2882781428604,34,2d,0.06,ALL
35,0.8534100222776433,0.5,291.0024864755371,35,2d,0.06,ALL
36,0.8514325516301567,0.5,259.1848734605002,36,2d,0.06,ALL
37,0.8665844840992757,0.5,333.9659063270222,37,2d,0.06,ALL
38,0.8443823042850032,0.5,225.42188084426468,38,2d,0.06,ALL
39,0.854291629085573,0.5,310.3911017246108,39,2d,0.06,ALL
40,0.8547363137757293,0.5,292.9007289431746,40,2d,0.06,ALL
41,0.8469726565123482,0.5,253.15552769914032,41,2d,0.06,ALL
42,0.85476663092166,0.5,302.471511112141,42,2d,0.06,ALL
43,0.8626703795884392,0.5,277.2099878845742,43,2d,0.06,ALL
44,0.8374166443673856,0.5,235.4696515480285,44,2d,0.06,ALL
45,0.846356637605414,0.5,260.3319757487854,45,2d,0.06,ALL
46,0.8471166042723693,0.5,248.01676029795706,46,2d,0.06,ALL
47,0.8502399320767611,0.5,271.63841912272034,47,2d,0.06,ALL
48,0.8611371689511271,0.5,258.12651989619565,48,2d,0.06,ALL
49,0.8561798251289522,0.5,306.8059895030763,49,2d,0.06,ALL
0,0.7372551843015355,0.5,213.11378507948277,0,3d,0.12,ALL
1,0.7347704860790262,0.5,176.82204500900835,1,3d,0.12,ALL
2,0.7199335090478313,0.5,147.4369381988878,2,3d,0.12,ALL
3,0.7179202357717864,0.5,131.30371668471872,3,3d,0.12,ALL
4,0.7414818975818209,0.5,213.6802741016262,4,3d,0.12,ALL
5,0.7193452680268775,0.5,152.79206227809877,5,3d,0.12,ALL
6,0.7379860723964798,0.5,191.83764608075504,6,3d,0.12,ALL
7,0.7424189271471476,0.5,189.5348095209797,7,3d,0.12,ALL
8,0.7418523253665572,0.5,199.97099020618808,8,3d,0.12,ALL
9,0.7297913003431885,0.5,171.5219021470535,9,3d,0.12,ALL
10,0.7168649721120232,0.5,142.56077098189456,10,3d,0.12,ALL
11,0.7192019142363869,0.5,127.5348317656119,11,3d,0.12,ALL
12,0.7186702648486358,0.5,156.03754451416185,12,3d,0.12,ALL
13,0.7302961349315091,0.5,158.33113274240156,13,3d,0.12,ALL
14,0.7240256371493886,0.5,156.91679607589776,14,3d,0.12,ALL
15,0.7435292006633056,0.5,188.55897495506989,15,3d,0.12,ALL
16,0.7323597302430579,0.5,171.17156663197122,16,3d,0.12,ALL
17,0.7431217867929534,0.5,205.37793665446162,17,3d,0.12,ALL
18,0.7488658945754727,0.5,210.5047242058645,18,3d,0.12,ALL
19,0.7212132021943276,0.5,158.29121453958376,19,3d,0.12,ALL
20,0.732170977409321,0.5,183.32338164886255,20,3d,0.12,ALL
21,0.7343068572145184,0.5,201.6414432342439,21,3d,0.12,ALL
22,0.7369341473600538,0.5,242.31245493518605,22,3d,0.12,ALL
23,0.7412088389168486,0.5,185.99535027112634,23,3d,0.12,ALL
24,0.7383530377722085,0.5,219.92396677337936,24,3d,0.12,ALL
25,0.7241077124232412,0.5,176.3978201532487,25,3d,0.12,ALL
26,0.7330473533306915,0.5,181.11995614607056,26,3d,0.12,ALL
27,0.7321497462666451,0.5,174.12637836195165,27,3d,0.12,ALL
28,0.7321667341474567,0.5,173.9855561381752,28,3d,0.12,ALL
29,0.7035247928242565,0.5,127.774960415358,29,3d,0.12,ALL
30,0.7348781726498235,0.5,170.62011294280222,30,3d,0.12,ALL
31,0.7373624652516695,0.5,204.41646247537662,31,3d,0.12,ALL
32,0.7338483285969813,0.5,190.5795817546532,32,3d,0.12,ALL
33,0.7480039000333701,0.5,211.21028927943843,33,3d,0.12,ALL
34,0.7214267366606648,0.5,149.72006307328928,34,3d,0.12,ALL
35,0.7279424947915605,0.5,152.3206679730264,35,3d,0.12,ALL
36,0.7395524432818447,0.5,222.36993382025878,36,3d,0.12,ALL
37,0.7420533190927558,0.5,189.30392835053127,37,3d,0.12,ALL
38,0.7376765344067555,0.5,177.9276681806916,38,3d,0.12,ALL
39,0.7271983946168452,0.5,184.9010901169034,39,3d,0.12,ALL
40,0.7274499786691568,0.5,167.5797952495864,40,3d,0.12,ALL
41,0.7318174059071998,0.5,179.8613146369107,41,3d,0.12,ALL
42,0.7292479018841483,0.5,177.26165014069977,42,3d,0.12,ALL
43,0.7242830407428397,0.5,179.72924171495606,43,3d,0.12,ALL
44,0.7322821825928771,0.5,169.92364234948744,44,3d,0.12,ALL
45,0.734481706079086,0.5,196.7964054236001,45,3d,0.12,ALL
46,0.7319421335489741,0.5,150.41034351708646,46,3d,0.12,ALL
