,di,is_bin_or_fit,ntrials,xs,ys,dotmode,coh,subj
0,1.0,bin,1060.0,40.00000000000001,0.47924528301886793,2d,0.06,ALL
1,2.0,bin,1176.0,50.12785914528975,0.5195578231292517,2d,0.06,ALL
2,4.0,bin,1058.0,66.69461096226564,0.5661625708884688,2d,0.06,ALL
3,5.0,bin,817.0,83.33353591698499,0.5667074663402693,2d,0.06,ALL
4,6.0,bin,830.0,100.1958384875157,0.6,2d,0.06,ALL
5,7.0,bin,1277.0,116.68188870368775,0.6507439310884886,2d,0.06,ALL
6,8.0,bin,966.0,150.01312461458272,0.6376811594202898,2d,0.06,ALL
7,9.0,bin,733.0,183.81283095738388,0.713506139154161,2d,0.06,ALL
8,10.0,bin,1077.0,216.767903861656,0.6638811513463324,2d,0.06,ALL
9,11.0,bin,869.0,267.41035372880316,0.7364787111622555,2d,0.06,ALL
10,12.0,bin,1150.0,333.91334991057346,0.7321739130434782,2d,0.06,ALL
11,13.0,bin,843.0,418.22620295452714,0.7390272835112692,2d,0.06,ALL
12,14.0,bin,909.0,500.4942833271253,0.7337733773377337,2d,0.06,ALL
13,15.0,bin,1196.0,618.2486462735641,0.7692307692307693,2d,0.06,ALL
14,16.0,bin,872.0,767.1924810001431,0.823394495412844,2d,0.06,ALL
15,17.0,bin,830.0,935.676204214544,0.8481927710843373,2d,0.06,ALL
16,18.0,bin,240.0,1151.67483057786,0.8541666666666666,2d,0.06,ALL
17,19.0,bin,115.0,1400.6780013184991,0.6782608695652174,2d,0.06,ALL
18,20.0,bin,127.0,1754.8117154811716,0.8582677165354331,2d,0.06,ALL
19,21.0,bin,76.0,2136.4016736401672,0.8026315789473685,2d,0.06,ALL
20,22.0,bin,181.0,2637.2384937238494,0.712707182320442,2d,0.06,ALL
21,23.0,bin,257.0,3233.47280334728,0.9066147859922179,2d,0.06,ALL
22,24.0,bin,243.0,3972.803347280335,0.9176954732510288,2d,0.06,ALL
23,25.0,bin,301.0,4879.07949790795,0.867109634551495,2d,0.06,ALL
0,1.0,fit,,33.333333333333336,0.5043678229309227,2d,0.06,ALL
1,2.0,fit,,50.0,0.5253999407366814,2d,0.06,ALL
2,4.0,fit,,66.66666666666667,0.5451475560617887,2d,0.06,ALL
3,5.0,fit,,83.33333333333333,0.5636891178117726,2d,0.06,ALL
4,6.0,fit,,100.0,0.5810982837525012,2d,0.06,ALL
5,7.0,fit,,116.66666666666667,0.5974442131212657,2d,0.06,ALL
6,7.0,fit,,133.33333333333334,0.6127918413671172,2d,0.06,ALL
7,8.0,fit,,150.0,0.6272021381118815,2d,0.06,ALL
8,8.0,fit,,166.66666666666666,0.6407323493566253,2d,0.06,ALL
9,9.0,fit,,183.33333333333331,0.6534362248957535,2d,0.06,ALL
10,9.0,fit,,200.0,0.6653642318421608,2d,0.06,ALL
11,10.0,fit,,216.66666666666669,0.6765637551116797,2d,0.06,ALL
12,10.0,fit,,233.33333333333334,0.6870792856632674,2d,0.06,ALL
13,10.0,fit,,250.0,0.6969525972427275,2d,0.06,ALL
14,11.0,fit,,266.6666666666667,0.7062229123320962,2d,0.06,ALL
15,11.0,fit,,283.3333333333333,0.7149270579639386,2d,0.06,ALL
16,11.0,fit,,300.0,0.7230996120195401,2d,0.06,ALL
17,11.0,fit,,316.66666666666663,0.7307730405921715,2d,0.06,ALL
18,12.0,fit,,333.3333333333333,0.7379778269611185,2d,0.06,ALL
19,12.0,fit,,350.0,0.7447425926888276,2d,0.06,ALL
20,12.0,fit,,366.66666666666663,0.7510942113222442,2d,0.06,ALL
21,12.0,fit,,383.33333333333337,0.757057915150023,2d,0.06,ALL
22,12.0,fit,,400.0,0.7626573954397158,2d,0.06,ALL
23,13.0,fit,,416.6666666666667,0.7679148965531366,2d,0.06,ALL
24,13.0,fit,,433.33333333333337,0.772851304313782,2d,0.06,ALL
25,13.0,fit,,450.0,0.7774862289773559,2d,0.06,ALL
26,13.0,fit,,466.6666666666667,0.7818380831350027,2d,0.06,ALL
27,13.0,fit,,483.3333333333333,0.7859241548587284,2d,0.06,ALL
28,14.0,fit,,500.0,0.7897606763795825,2d,0.06,ALL
29,14.0,fit,,516.6666666666667,0.7933628885714322,2d,0.06,ALL
30,14.0,fit,,533.3333333333334,0.7967451014964939,2d,0.06,ALL
31,14.0,fit,,550.0,0.7999207512531457,2d,0.06,ALL
32,14.0,fit,,566.6666666666666,0.80290245335185,2d,0.06,ALL
33,14.0,fit,,583.3333333333334,0.8057020528312308,2d,0.06,ALL
34,14.0,fit,,600.0,0.8083306713133906,2d,0.06,ALL
35,15.0,fit,,616.6666666666667,0.8107987511854019,2d,0.06,ALL
36,15.0,fit,,633.3333333333333,0.8131160970824838,2d,0.06,ALL
37,15.0,fit,,650.0,0.815291914837663,2d,0.06,ALL
38,15.0,fit,,666.6666666666666,0.8173348480526458,2d,0.06,ALL
39,15.0,fit,,683.3333333333334,0.8192530124351846,2d,0.06,ALL
40,15.0,fit,,700.0,0.8210540280393442,2d,0.06,ALL
41,15.0,fit,,716.6666666666666,0.8227450495367478,2d,0.06,ALL
42,15.0,fit,,733.3333333333333,0.8243327946390536,2d,0.06,ALL
43,15.0,fit,,750.0,0.8258235707845768,2d,0.06,ALL
44,16.0,fit,,783.3333333333334,0.8285375434021907,2d,0.06,ALL
45,16.0,fit,,800.0,0.8297715213371558,2d,0.06,ALL
46,16.0,fit,,816.6666666666666,0.8309301360712692,2d,0.06,ALL
47,16.0,fit,,833.3333333333334,0.832017990289783,2d,0.06,ALL
48,16.0,fit,,850.0,0.833039405576413,2d,0.06,ALL
49,16.0,fit,,866.6666666666667,0.8339984395811594,2d,0.06,ALL
50,16.0,fit,,883.3333333333333,0.8348989021396299,2d,0.06,ALL
51,16.0,fit,,900.0,0.8357443704079024,2d,0.06,ALL
52,16.0,fit,,916.6666666666666,0.8365382030730494,2d,0.06,ALL
53,17.0,fit,,933.3333333333334,0.8372835536957782,2d,0.06,ALL
54,17.0,fit,,950.0,0.837983383238191,2d,0.06,ALL
55,17.0,fit,,966.6666666666666,0.8386404718264325,2d,0.06,ALL
56,17.0,fit,,983.3333333333333,0.8392574297949523,2d,0.06,ALL
57,17.0,fit,,1000.0,0.8398367080562577,2d,0.06,ALL
58,17.0,fit,,1016.6666666666666,0.8403806078373498,2d,0.06,ALL
59,17.0,fit,,1033.3333333333335,0.8408912898215233,2d,0.06,ALL
60,17.0,fit,,1050.0,0.8413707827318454,2d,0.06,ALL
61,17.0,fit,,1066.6666666666667,0.8418209913904127,2d,0.06,ALL
62,17.0,fit,,1083.3333333333333,0.8422437042854014,2d,0.06,ALL
63,17.0,fit,,1100.0,0.8426406006759739,2d,0.06,ALL
64,17.0,fit,,1116.6666666666667,0.8430132572632627,2d,0.06,ALL
65,17.0,fit,,1133.3333333333333,0.8433631544539361,2d,0.06,ALL
66,18.0,fit,,1150.0,0.8436916822412263,2d,0.06,ALL
67,18.0,fit,,1166.6666666666667,0.8440001457267836,2d,0.06,ALL
68,18.0,fit,,1200.0,0.8445617065324419,2d,0.06,ALL
69,18.0,fit,,1216.6666666666665,0.8448170346956025,2d,0.06,ALL
70,18.0,fit,,1233.3333333333335,0.8450567691053433,2d,0.06,ALL
71,18.0,fit,,1250.0,0.8452818621248611,2d,0.06,ALL
72,18.0,fit,,1266.6666666666665,0.8454932079533154,2d,0.06,ALL
73,18.0,fit,,1283.3333333333335,0.8456916461781021,2d,0.06,ALL
74,18.0,fit,,1333.3333333333333,0.8462171605563353,2d,0.06,ALL
75,18.0,fit,,1366.6666666666667,0.8465161895636993,2d,0.06,ALL
76,19.0,fit,,1416.6666666666667,0.8468996696958221,2d,0.06,ALL
77,19.0,fit,,1433.3333333333333,0.8470122105509823,2d,0.06,ALL
78,19.0,fit,,1450.0,0.8471178781559561,2d,0.06,ALL
79,19.0,fit,,1483.3333333333335,0.8473102470688401,2d,0.06,ALL
80,19.0,fit,,1500.0,0.8473977125769043,2d,0.06,ALL
81,19.0,fit,,1533.3333333333335,0.8475569443935556,2d,0.06,ALL
82,19.0,fit,,1550.0,0.8476293432626587,2d,0.06,ALL
83,20.0,fit,,1766.6666666666665,0.8482517902635875,2d,0.06,ALL
84,20.0,fit,,1800.0,0.8483098849349301,2d,0.06,ALL
85,20.0,fit,,1816.6666666666667,0.8483362991817469,2d,0.06,ALL
86,20.0,fit,,1850.0,0.8483843865775582,2d,0.06,ALL
87,20.0,fit,,2050.0,0.8485743263789678,2d,0.06,ALL
88,20.0,fit,,2083.3333333333335,0.8485942273561334,2d,0.06,ALL
89,20.0,fit,,2100.0,0.848603275850782,2d,0.06,ALL
90,21.0,fit,,2133.3333333333335,0.8486197487241778,2d,0.06,ALL
91,21.0,fit,,2350.0,0.8486883307384606,2d,0.06,ALL
92,21.0,fit,,2366.6666666666665,0.8486916320216702,2d,0.06,ALL
93,21.0,fit,,2383.3333333333335,0.8486947316843626,2d,0.06,ALL
94,21.0,fit,,2416.6666666666665,0.8487003746507435,2d,0.06,ALL
95,22.0,fit,,2633.3333333333335,0.8487238681841206,2d,0.06,ALL
96,22.0,fit,,2650.0,0.8487249990754787,2d,0.06,ALL
97,22.0,fit,,2683.333333333333,0.8487270578743055,2d,0.06,ALL
98,22.0,fit,,2700.0,0.8487279939605092,2d,0.06,ALL
99,22.0,fit,,2916.6666666666665,0.848736041932216,2d,0.06,ALL
100,22.0,fit,,2933.333333333333,0.848736429331655,2d,0.06,ALL
101,22.0,fit,,2966.666666666667,0.8487371345961396,2d,0.06,ALL
102,22.0,fit,,2983.3333333333335,0.8487374552629019,2d,0.06,ALL
103,22.0,fit,,3200.0,0.8487402121853092,2d,0.06,ALL
104,23.0,fit,,3233.3333333333335,0.8487404694963749,2d,0.06,ALL
105,23.0,fit,,3250.0,0.8487405864895146,2d,0.06,ALL
106,23.0,fit,,3266.6666666666665,0.848740696337488,2d,0.06,ALL
107,23.0,fit,,3483.3333333333335,0.848741640751986,2d,0.06,ALL
108,23.0,fit,,3516.6666666666665,0.8487417288967595,2d,0.06,ALL
109,23.0,fit,,3533.333333333333,0.8487417689740634,2d,0.06,ALL
110,23.0,fit,,3566.666666666667,0.848741841935189,2d,0.06,ALL
111,23.0,fit,,3766.6666666666665,0.8487421301234234,2d,0.06,ALL
112,23.0,fit,,3800.0,0.8487421603183979,2d,0.06,ALL
113,23.0,fit,,3816.666666666667,0.8487421740473251,2d,0.06,ALL
114,23.0,fit,,3850.0,0.8487421990409718,2d,0.06,ALL
115,24.0,fit,,4066.6666666666665,0.8487423030977806,2d,0.06,ALL
116,24.0,fit,,4083.333333333333,0.8487423081066886,2d,0.06,ALL
117,24.0,fit,,4100.0,0.8487423128096856,2d,0.06,ALL
118,24.0,fit,,4133.333333333334,0.8487423213715378,2d,0.06,ALL
119,24.0,fit,,4350.0,0.8487423570173576,2d,0.06,ALL
120,24.0,fit,,4366.666666666666,0.8487423587332148,2d,0.06,ALL
121,24.0,fit,,4400.0,0.8487423618569497,2d,0.06,ALL
122,24.0,fit,,4416.666666666667,0.8487423632772367,2d,0.06,ALL
123,24.0,fit,,4633.333333333334,0.8487423754881095,2d,0.06,ALL
124,24.0,fit,,4650.0,0.8487423760758955,2d,0.06,ALL
125,24.0,fit,,4683.333333333334,0.8487423771459658,2d,0.06,ALL
126,24.0,fit,,4700.0,0.8487423776325009,2d,0.06,ALL
127,25.0,fit,,4916.666666666667,0.8487423818154715,2d,0.06,ALL
128,25.0,fit,,4950.0,0.8487423822058795,2d,0.06,ALL
129,25.0,fit,,4966.666666666667,0.8487423823833886,2d,0.06,ALL
130,25.0,fit,,4983.333333333333,0.8487423825500566,2d,0.06,ALL
131,25.0,fit,,5200.0,0.8487423839829799,2d,0.06,ALL
132,25.0,fit,,5233.333333333333,0.8487423841167184,2d,0.06,ALL
133,25.0,fit,,5250.0,0.8487423841775262,2d,0.06,ALL
134,25.0,fit,,5283.333333333333,0.8487423842882272,2d,0.06,ALL
135,25.0,fit,,5483.333333333333,0.848742384725484,2d,0.06,ALL
136,25.0,fit,,5516.666666666667,0.8487423847712977,2d,0.06,ALL
137,25.0,fit,,5533.333333333333,0.848742384792128,2d,0.06,ALL
138,25.0,fit,,5566.666666666666,0.8487423848300499,2d,0.06,ALL
139,25.0,fit,,5783.333333333333,0.8487423849879312,2d,0.06,ALL
140,25.0,fit,,5800.0,0.848742384995531,2d,0.06,ALL
141,25.0,fit,,5816.666666666666,0.8487423850026667,2d,0.06,ALL
142,25.0,fit,,5850.0,0.8487423850156574,2d,0.06,ALL
0,1.0,bin,885.0,40.00000000000001,0.48361581920903957,3d,0.12,ALL
1,2.0,bin,1070.0,50.12785914528975,0.5663551401869159,3d,0.12,ALL
2,4.0,bin,975.0,66.69461096226564,0.5353846153846153,3d,0.12,ALL
3,5.0,bin,774.0,83.33353591698499,0.5103359173126615,3d,0.12,ALL
4,6.0,bin,783.0,100.1958384875157,0.578544061302682,3d,0.12,ALL
5,7.0,bin,1260.0,116.68188870368775,0.6333333333333333,3d,0.12,ALL
6,8.0,bin,821.0,150.01312461458272,0.6017052375152253,3d,0.12,ALL
7,9.0,bin,843.0,183.81283095738388,0.6488730723606169,3d,0.12,ALL
8,10.0,bin,943.0,216.767903861656,0.6702014846235419,3d,0.12,ALL
9,11.0,bin,1062.0,267.41035372880316,0.6864406779661016,3d,0.12,ALL
10,12.0,bin,1204.0,333.91334991057346,0.6785714285714286,3d,0.12,ALL
11,13.0,bin,792.0,418.22620295452714,0.6818181818181818,3d,0.12,ALL
12,14.0,bin,994.0,500.4942833271253,0.7012072434607646,3d,0.12,ALL
13,15.0,bin,1145.0,618.2486462735641,0.6917030567685589,3d,0.12,ALL
14,16.0,bin,928.0,767.1924810001431,0.71875,3d,0.12,ALL
15,17.0,bin,1121.0,935.676204214544,0.7252453166815344,3d,0.12,ALL
16,18.0,bin,338.0,1151.67483057786,0.8224852071005917,3d,0.12,ALL
17,19.0,bin,144.0,1400.6780013184991,0.7638888888888888,3d,0.12,ALL
18,20.0,bin,89.0,1754.8117154811716,0.6741573033707865,3d,0.12,ALL
19,21.0,bin,107.0,2136.4016736401672,0.7663551401869159,3d,0.12,ALL
20,22.0,bin,114.0,2637.2384937238494,0.7192982456140351,3d,0.12,ALL
21,23.0,bin,170.0,3233.47280334728,0.7470588235294118,3d,0.12,ALL
22,24.0,bin,179.0,3972.803347280335,0.7206703910614525,3d,0.12,ALL
23,25.0,bin,255.0,4879.07949790795,0.7294117647058823,3d,0.12,ALL
0,1.0,fit,,33.333333333333336,0.5043170141404227,3d,0.12,ALL
1,2.0,fit,,50.0,0.5247274466138614,3d,0.12,ALL
2,4.0,fit,,66.66666666666667,0.5433095605152046,3d,0.12,ALL
3,5.0,fit,,83.33333333333333,0.5602271323252019,3d,0.12,ALL
4,6.0,fit,,100.0,0.5756292678123665,3d,0.12,ALL
5,7.0,fit,,116.66666666666667,0.5896517162008987,3d,0.12,ALL
6,7.0,fit,,133.33333333333334,0.6024180666185347,3d,0.12,ALL
7,8.0,fit,,150.0,0.6140408373694088,3d,0.12,ALL
8,8.0,fit,,166.66666666666666,0.6246224676324134,3d,0.12,ALL
9,9.0,fit,,183.33333333333331,0.6342562203255488,3d,0.12,ALL
10,9.0,fit,,200.0,0.6430270040938096,3d,0.12,ALL
11,10.0,fit,,216.66666666666669,0.6510121216653246,3d,0.12,ALL
12,10.0,fit,,233.33333333333334,0.658281951171515,3d,0.12,ALL
13,10.0,fit,,250.0,0.6649005664361929,3d,0.12,ALL
14,11.0,fit,,266.6666666666667,0.6709263017006203,3d,0.12,ALL
15,11.0,fit,,283.3333333333333,0.676412265761825,3d,0.12,ALL
16,11.0,fit,,300.0,0.6814068100556143,3d,0.12,ALL
17,11.0,fit,,316.66666666666663,0.6859539548098117,3d,0.12,ALL
18,12.0,fit,,333.3333333333333,0.6900937770236893,3d,0.12,ALL
19,12.0,fit,,350.0,0.6938627636931143,3d,0.12,ALL
20,12.0,fit,,366.66666666666663,0.6972941333946157,3d,0.12,ALL
21,12.0,fit,,383.33333333333337,0.7004181290627083,3d,0.12,ALL
22,12.0,fit,,400.0,0.7032622845409101,3d,0.12,ALL
23,13.0,fit,,416.6666666666667,0.7058516672557474,3d,0.12,ALL
24,13.0,fit,,433.33333333333337,0.708209099152592,3d,0.12,ALL
25,13.0,fit,,450.0,0.7103553578405857,3d,0.12,ALL
26,13.0,fit,,466.6666666666667,0.7123093597194752,3d,0.12,ALL
27,13.0,fit,,483.3333333333333,0.7140883267023755,3d,0.12,ALL
28,14.0,fit,,500.0,0.7157079380039,3d,0.12,ALL
29,14.0,fit,,516.6666666666667,0.7171824683314664,3d,0.12,ALL
30,14.0,fit,,533.3333333333334,0.7185249136977505,3d,0.12,ALL
31,14.0,fit,,550.0,0.7197471059631563,3d,0.12,ALL
32,14.0,fit,,566.6666666666666,0.7208598171178399,3d,0.12,ALL
33,14.0,fit,,583.3333333333334,0.7218728542223957,3d,0.12,ALL
34,14.0,fit,,600.0,0.722795145843979,3d,0.12,ALL
35,15.0,fit,,616.6666666666667,0.7236348207496831,3d,0.12,ALL
36,15.0,fit,,633.3333333333333,0.7243992795507496,3d,0.12,ALL
37,15.0,fit,,650.0,0.7250952599290581,3d,0.12,ALL
38,15.0,fit,,666.6666666666666,0.7257288960207802,3d,0.12,ALL
39,15.0,fit,,683.3333333333334,0.7263057724805859,3d,0.12,ALL
40,15.0,fit,,700.0,0.7268309737029052,3d,0.12,ALL
41,15.0,fit,,716.6666666666666,0.727309128634064,3d,0.12,ALL
42,15.0,fit,,733.3333333333333,0.727744451570256,3d,0.12,ALL
43,15.0,fit,,750.0,0.7281407793009258,3d,0.12,ALL
44,16.0,fit,,766.6666666666667,0.7285016049249369,3d,0.12,ALL
45,16.0,fit,,783.3333333333334,0.7288301086375664,3d,0.12,ALL
46,16.0,fit,,800.0,0.7291291857596724,3d,0.12,ALL
47,16.0,fit,,816.6666666666666,0.7294014722560753,3d,0.12,ALL
48,16.0,fit,,850.0,0.7298750577647765,3d,0.12,ALL
49,16.0,fit,,866.6666666666667,0.7300805307999206,3d,0.12,ALL
50,16.0,fit,,883.3333333333333,0.7302675980434822,3d,0.12,ALL
51,16.0,fit,,900.0,0.7304379082430134,3d,0.12,ALL
52,16.0,fit,,916.6666666666666,0.7305929624551359,3d,0.12,ALL
53,17.0,fit,,933.3333333333334,0.730734127275347,3d,0.12,ALL
54,17.0,fit,,950.0,0.7308626468827312,3d,0.12,ALL
55,17.0,fit,,966.6666666666666,0.7309796540057343,3d,0.12,ALL
56,17.0,fit,,983.3333333333333,0.7310861799056505,3d,0.12,ALL
57,17.0,fit,,1000.0,0.7311831634658109,3d,0.12,ALL
58,17.0,fit,,1016.6666666666666,0.7312714594665842,3d,0.12,ALL
59,17.0,fit,,1033.3333333333335,0.7313518461191226,3d,0.12,ALL
60,17.0,fit,,1050.0,0.7314250319242526,3d,0.12,ALL
61,17.0,fit,,1066.6666666666667,0.7314916619169611,3d,0.12,ALL
62,17.0,fit,,1083.3333333333333,0.7315523233515177,3d,0.12,ALL
63,17.0,fit,,1116.6666666666667,0.731657831251184,3d,0.12,ALL
64,17.0,fit,,1133.3333333333333,0.7317036076273142,3d,0.12,ALL
65,18.0,fit,,1150.0,0.731745283463255,3d,0.12,ALL
66,18.0,fit,,1166.6666666666667,0.7317832260757593,3d,0.12,ALL
67,18.0,fit,,1183.3333333333333,0.7318177698782087,3d,0.12,ALL
68,18.0,fit,,1216.6666666666665,0.73187785161003,3d,0.12,ALL
69,18.0,fit,,1233.3333333333335,0.7319039190795097,3d,0.12,ALL
70,18.0,fit,,1250.0,0.7319276514863374,3d,0.12,ALL
71,18.0,fit,,1266.6666666666665,0.7319492579999378,3d,0.12,ALL
72,18.0,fit,,1300.0,0.7319868380190349,3d,0.12,ALL
73,18.0,fit,,1316.6666666666667,0.7320031427421372,3d,0.12,ALL
74,18.0,fit,,1350.0,0.732031501403645,3d,0.12,ALL
75,18.0,fit,,1366.6666666666667,0.7320438052857224,3d,0.12,ALL
76,18.0,fit,,1383.3333333333333,0.7320550070149602,3d,0.12,ALL
77,19.0,fit,,1433.3333333333333,0.7320829431412286,3d,0.12,ALL
78,19.0,fit,,1450.0,0.7320906389933524,3d,0.12,ALL
79,19.0,fit,,1466.6666666666665,0.7320976454691298,3d,0.12,ALL
80,19.0,fit,,1533.3333333333335,0.7321199326167843,3d,0.12,ALL
81,19.0,fit,,1550.0,0.732124315038621,3d,0.12,ALL
82,19.0,fit,,1583.3333333333333,0.7321319373463824,3d,0.12,ALL
83,19.0,fit,,1600.0,0.7321352444127553,3d,0.12,ALL
84,20.0,fit,,1816.6666666666667,0.7321589327553737,3d,0.12,ALL
85,20.0,fit,,1850.0,0.7321606308936565,3d,0.12,ALL
