,xs,ys,is_bin_or_fit,dotmode,subj
0,40.00000000000001,0.5053191489361702,bin,2d,KRM
1,50.20423174968514,0.5963302752293578,bin,2d,KRM
2,66.69461096226564,0.6861702127659575,bin,2d,KRM
3,83.70879263011685,0.7006802721088435,bin,2d,KRM
4,100.26993840875744,0.7327586206896551,bin,2d,KRM
5,116.68188870368775,0.8029556650246306,bin,2d,KRM
6,150.6940604959061,0.8193548387096774,bin,2d,KRM
7,183.86605448970766,0.8296296296296296,bin,2d,KRM
8,219.86823945484173,0.7852760736196319,bin,2d,KRM
9,268.2302729048933,0.8715083798882681,bin,2d,KRM
10,333.9779707197085,0.8617021276595744,bin,2d,KRM
11,419.2440182287827,0.8456375838926175,bin,2d,KRM
12,501.0472823777825,0.8392857142857143,bin,2d,KRM
13,618.2486462735641,0.839572192513369,bin,2d,KRM
14,767.1924810001431,0.9130434782608695,bin,2d,KRM
15,935.9434953383347,0.8936170212765957,bin,2d,KRM
16,1155.3752779078673,0.9148936170212766,bin,2d,KRM
17,1444.7698744769878,0.9090909090909091,bin,2d,KRM
18,1754.8117154811716,0.9285714285714286,bin,2d,KRM
19,2136.4016736401672,0.8529411764705882,bin,2d,KRM
20,2637.2384937238494,0.8571428571428571,bin,2d,KRM
21,3233.47280334728,0.9444444444444444,bin,2d,KRM
22,4020.5020920502097,0.85,bin,2d,KRM
23,4879.07949790795,0.9375,bin,2d,KRM
0,33.333333333333336,0.5883688837230626,fit,2d,KRM
1,50.0,0.6246057631308946,fit,2d,KRM
2,66.66666666666667,0.6564006209008226,fit,2d,KRM
3,83.33333333333333,0.684297972911533,fit,2d,KRM
4,100.0,0.708775586708113,fit,2d,KRM
5,116.66666666666667,0.7302526637061196,fit,2d,KRM
6,133.33333333333334,0.7490970183973744,fit,2d,KRM
7,150.0,0.7656313775079169,fit,2d,KRM
8,166.66666666666666,0.7801389069869314,fit,2d,KRM
9,183.33333333333331,0.7928680614813608,fit,2d,KRM
10,200.0,0.8040368393478774,fit,2d,KRM
11,216.66666666666669,0.8138365160731603,fit,2d,KRM
12,233.33333333333334,0.8224349200407023,fit,2d,KRM
13,250.0,0.8299793067446328,fit,2d,KRM
14,266.6666666666667,0.8365988806740856,fit,2d,KRM
15,283.3333333333333,0.8424070080576755,fit,2d,KRM
16,300.0,0.8475031583633487,fit,2d,KRM
17,316.66666666666663,0.8519746078035572,fit,2d,KRM
18,333.3333333333333,0.8558979340198353,fit,2d,KRM
19,350.0,0.8593403275446108,fit,2d,KRM
20,366.66666666666663,0.8623607425002291,fit,2d,KRM
21,383.33333333333337,0.8650109062419584,fit,2d,KRM
22,400.0,0.8673362052360293,fit,2d,KRM
23,416.6666666666667,0.8693764623441804,fit,2d,KRM
24,433.33333333333337,0.8711666188264112,fit,2d,KRM
25,450.0,0.8727373327418634,fit,2d,KRM
26,466.6666666666667,0.8741155039959878,fit,2d,KRM
27,483.3333333333333,0.8753247350259098,fit,2d,KRM
28,500.0,0.8763857350136472,fit,2d,KRM
29,516.6666666666667,0.8773166745497022,fit,2d,KRM
30,533.3333333333334,0.8781334968209619,fit,2d,KRM
31,550.0,0.8788501906522855,fit,2d,KRM
32,566.6666666666666,0.8794790300778624,fit,2d,KRM
33,583.3333333333334,0.8800307845452193,fit,2d,KRM
34,600.0,0.8805149033518112,fit,2d,KRM
35,616.6666666666667,0.8809396774728412,fit,2d,KRM
36,633.3333333333333,0.8813123815517575,fit,2d,KRM
37,650.0,0.8816393984851432,fit,2d,KRM
38,666.6666666666666,0.8819263287356301,fit,2d,KRM
39,683.3333333333334,0.8821780862449192,fit,2d,KRM
40,700.0,0.8823989825895042,fit,2d,KRM
41,716.6666666666666,0.8825928008203439,fit,2d,KRM
42,733.3333333333333,0.8827628602510529,fit,2d,KRM
43,750.0,0.8829120733041685,fit,2d,KRM
44,766.6666666666667,0.8830429953890379,fit,2d,KRM
45,783.3333333333334,0.883157868665528,fit,2d,KRM
46,800.0,0.8832586604430558,fit,2d,KRM
47,816.6666666666666,0.883347096872551,fit,2d,KRM
48,833.3333333333334,0.8834246925083625,fit,2d,KRM
49,850.0,0.8834927762463806,fit,2d,KRM
50,866.6666666666667,0.8835525140825878,fit,2d,KRM
51,883.3333333333333,0.8836049290818023,fit,2d,KRM
52,900.0,0.883650918898593,fit,2d,KRM
53,916.6666666666666,0.8836912711504321,fit,2d,KRM
54,933.3333333333334,0.8837266769063604,fit,2d,KRM
55,950.0,0.8837577425221743,fit,2d,KRM
56,966.6666666666666,0.8837850000248203,fit,2d,KRM
57,983.3333333333333,0.8838089162238405,fit,2d,KRM
58,1000.0,0.8838299007059116,fit,2d,KRM
59,1016.6666666666666,0.8838483128493889,fit,2d,KRM
60,1033.3333333333335,0.883864467978988,fit,2d,KRM
61,1050.0,0.8838786427660075,fit,2d,KRM
62,1066.6666666666667,0.8838910799665768,fit,2d,KRM
63,1083.3333333333333,0.8839019925790761,fit,2d,KRM
64,1100.0,0.8839115674919268,fit,2d,KRM
65,1116.6666666666667,0.8839199686842265,fit,2d,KRM
66,1133.3333333333333,0.8839273400340402,fit,2d,KRM
67,1150.0,0.8839338077824425,fit,2d,KRM
68,1166.6666666666667,0.8839394826955118,fit,2d,KRM
69,1200.0,0.883948830854265,fit,2d,KRM
70,1216.6666666666665,0.8839526641956761,fit,2d,KRM
71,1250.0,0.8839589787741775,fit,2d,KRM
72,1266.6666666666665,0.8839615681541723,fit,2d,KRM
73,1300.0,0.8839658335825528,fit,2d,KRM
74,1316.6666666666667,0.8839675826802819,fit,2d,KRM
75,1333.3333333333333,0.8839691173685451,fit,2d,KRM
76,1366.6666666666667,0.8839716454265693,fit,2d,KRM
77,1433.3333333333333,0.8839750900228889,fit,2d,KRM
78,1466.6666666666665,0.8839762435388623,fit,2d,KRM
79,1483.3333333333335,0.8839767165539946,fit,2d,KRM
80,1500.0,0.8839771315855619,fit,2d,KRM
81,1533.3333333333335,0.8839778152578809,fit,2d,KRM
82,1550.0,0.8839780956071435,fit,2d,KRM
83,1583.3333333333333,0.8839785574202814,fit,2d,KRM
84,1600.0,0.8839787467931272,fit,2d,KRM
85,1633.3333333333333,0.8839790587428266,fit,2d,KRM
86,1650.0,0.8839791866621026,fit,2d,KRM
87,1716.6666666666665,0.8839795596046757,fit,2d,KRM
88,1750.0,0.883979684494554,fit,2d,KRM
89,1766.6666666666665,0.8839797357073709,fit,2d,KRM
90,1800.0,0.8839798200691111,fit,2d,KRM
91,1816.6666666666667,0.883979854662806,fit,2d,KRM
92,1850.0,0.8839799116482345,fit,2d,KRM
93,1866.6666666666667,0.8839799350158952,fit,2d,KRM
94,1883.3333333333333,0.8839799555190805,fit,2d,KRM
95,1916.6666666666667,0.883979989293524,fit,2d,KRM
96,1933.3333333333333,0.8839800031432001,fit,2d,KRM
97,2016.6666666666665,0.8839800507235552,fit,2d,KRM
98,2033.3333333333333,0.8839800570429603,fit,2d,KRM
99,2050.0,0.8839800625877144,fit,2d,KRM
100,2083.3333333333335,0.8839800717214653,fit,2d,KRM
101,2100.0,0.8839800754668857,fit,2d,KRM
102,2133.3333333333335,0.8839800816366341,fit,2d,KRM
103,2150.0,0.8839800841666244,fit,2d,KRM
104,2183.333333333333,0.8839800883342216,fit,2d,KRM
105,2200.0,0.8839800900432023,fit,2d,KRM
106,2216.666666666667,0.8839800915426912,fit,2d,KRM
107,2300.0,0.8839800966941628,fit,2d,KRM
108,2316.666666666667,0.8839800973783577,fit,2d,KRM
109,2350.0,0.8839800985054168,fit,2d,KRM
110,2366.6666666666665,0.8839800989675829,fit,2d,KRM
111,2383.3333333333335,0.8839800993730954,fit,2d,KRM
112,2416.6666666666665,0.8839801000410871,fit,2d,KRM
113,2433.333333333333,0.8839801003150063,fit,2d,KRM
114,2466.666666666667,0.8839801007662274,fit,2d,KRM
115,2483.3333333333335,0.8839801009512568,fit,2d,KRM
116,2516.6666666666665,0.8839801012560516,fit,2d,KRM
117,2583.3333333333335,0.8839801016713488,fit,2d,KRM
118,2600.0,0.8839801017454259,fit,2d,KRM
119,2633.3333333333335,0.8839801018674512,fit,2d,KRM
120,2650.0,0.8839801019174894,fit,2d,KRM
121,2683.333333333333,0.8839801019999163,fit,2d,KRM
122,2700.0,0.8839801020337166,fit,2d,KRM
123,2716.666666666667,0.8839801020633734,fit,2d,KRM
124,2750.0,0.8839801021122267,fit,2d,KRM
125,2766.6666666666665,0.8839801021322595,fit,2d,KRM
126,2800.0,0.8839801021652594,fit,2d,KRM
127,2866.6666666666665,0.8839801022102232,fit,2d,KRM
128,2883.3333333333335,0.8839801022182434,fit,2d,KRM
129,2916.6666666666665,0.883980102231455,fit,2d,KRM
130,2933.333333333333,0.8839801022368725,fit,2d,KRM
131,2966.666666666667,0.8839801022457967,fit,2d,KRM
132,2983.3333333333335,0.8839801022494562,fit,2d,KRM
133,3016.6666666666665,0.8839801022554845,fit,2d,KRM
134,3033.333333333333,0.8839801022579564,fit,2d,KRM
135,3050.0,0.8839801022601255,fit,2d,KRM
136,3083.3333333333335,0.8839801022636983,fit,2d,KRM
137,3150.0,0.8839801022685665,fit,2d,KRM
138,3183.333333333333,0.8839801022701966,fit,2d,KRM
139,3200.0,0.8839801022708652,fit,2d,KRM
140,3233.3333333333335,0.8839801022719664,fit,2d,KRM
141,3250.0,0.883980102272418,fit,2d,KRM
142,3266.6666666666665,0.8839801022728142,fit,2d,KRM
143,3300.0,0.8839801022734668,fit,2d,KRM
144,3316.666666666667,0.8839801022737345,fit,2d,KRM
145,3350.0,0.8839801022741753,fit,2d,KRM
146,3366.6666666666665,0.8839801022743562,fit,2d,KRM
147,3433.333333333333,0.8839801022748832,fit,2d,KRM
148,3466.666666666667,0.8839801022750597,fit,2d,KRM
149,3483.3333333333335,0.8839801022751321,fit,2d,KRM
150,3516.6666666666665,0.8839801022752514,fit,2d,KRM
151,3533.333333333333,0.8839801022753002,fit,2d,KRM
152,3566.666666666667,0.8839801022753807,fit,2d,KRM
153,3583.3333333333335,0.8839801022754138,fit,2d,KRM
154,3600.0,0.8839801022754428,fit,2d,KRM
155,3633.3333333333335,0.8839801022754905,fit,2d,KRM
156,3650.0,0.88398010227551,fit,2d,KRM
157,3733.3333333333335,0.8839801022755773,fit,2d,KRM
158,3750.0,0.8839801022755862,fit,2d,KRM
159,3766.6666666666665,0.8839801022755941,fit,2d,KRM
160,3800.0,0.883980102275607,fit,2d,KRM
161,3816.666666666667,0.8839801022756123,fit,2d,KRM
162,3850.0,0.883980102275621,fit,2d,KRM
163,3866.6666666666665,0.8839801022756245,fit,2d,KRM
164,3900.0,0.8839801022756305,fit,2d,KRM
165,3916.6666666666665,0.8839801022756328,fit,2d,KRM
166,3933.333333333333,0.883980102275635,fit,2d,KRM
167,4016.6666666666665,0.8839801022756423,fit,2d,KRM
168,4033.333333333333,0.8839801022756433,fit,2d,KRM
169,4066.6666666666665,0.8839801022756448,fit,2d,KRM
170,4083.333333333333,0.8839801022756455,fit,2d,KRM
171,4100.0,0.883980102275646,fit,2d,KRM
172,4133.333333333334,0.883980102275647,fit,2d,KRM
173,4150.0,0.8839801022756474,fit,2d,KRM
174,4183.333333333334,0.883980102275648,fit,2d,KRM
175,4200.0,0.8839801022756483,fit,2d,KRM
176,4233.333333333333,0.8839801022756487,fit,2d,KRM
177,4300.0,0.8839801022756493,fit,2d,KRM
178,4316.666666666666,0.8839801022756494,fit,2d,KRM
179,4350.0,0.8839801022756496,fit,2d,KRM
180,4366.666666666666,0.8839801022756496,fit,2d,KRM
181,4400.0,0.8839801022756497,fit,2d,KRM
182,4416.666666666667,0.8839801022756498,fit,2d,KRM
183,4433.333333333334,0.8839801022756498,fit,2d,KRM
184,4466.666666666667,0.8839801022756499,fit,2d,KRM
185,4483.333333333333,0.8839801022756499,fit,2d,KRM
186,4516.666666666667,0.88398010227565,fit,2d,KRM
187,4583.333333333333,0.88398010227565,fit,2d,KRM
188,4616.666666666666,0.88398010227565,fit,2d,KRM
189,4633.333333333334,0.88398010227565,fit,2d,KRM
190,4650.0,0.8839801022756502,fit,2d,KRM
191,4683.333333333334,0.8839801022756502,fit,2d,KRM
192,4700.0,0.8839801022756502,fit,2d,KRM
193,4733.333333333333,0.8839801022756502,fit,2d,KRM
194,4750.0,0.8839801022756502,fit,2d,KRM
195,4783.333333333333,0.8839801022756502,fit,2d,KRM
196,4800.0,0.8839801022756502,fit,2d,KRM
197,4866.666666666666,0.8839801022756502,fit,2d,KRM
198,4900.0,0.8839801022756502,fit,2d,KRM
199,4916.666666666667,0.8839801022756502,fit,2d,KRM
200,4950.0,0.8839801022756502,fit,2d,KRM
201,4966.666666666667,0.8839801022756502,fit,2d,KRM
202,4983.333333333333,0.8839801022756502,fit,2d,KRM
203,5016.666666666667,0.8839801022756502,fit,2d,KRM
204,5033.333333333333,0.8839801022756502,fit,2d,KRM
205,5066.666666666666,0.8839801022756502,fit,2d,KRM
206,5083.333333333333,0.8839801022756502,fit,2d,KRM
